auprc,auroc,cell,context_kernel_norm,cross_variable_leakage,data_seed,f1,gate_mean,gate_std,identity_deviation,max_iter,mcc,method,mse,root,run_id,temporal_mass_median,train_seed,wall_seconds
0.7687499999999999,0.9326923076923077,Stat+Nonlinear,,0.0,102,0.75,,,0.006583712063729763,500,0.7115384615384616,fixed_fir3,0.01980847679078579,gpu_d2_it500_round1,d2__Stat_Nonlinear__fixed_fir3__ds102__ts0__it500,0.030138551061030777,0,7.249739199993201
0.8871116051822574,0.9034090909090909,NS+Linear,0.6108728051185608,0.0,0,0.75,0.09727469086647034,0.0038512195460498333,0.005937245208770037,500,0.6590909090909091,contextual_fir,0.016405295580625534,gpu_d2_contextual_it500,d2__NS_Linear__contextual_fir__ds0__ts0__it500,0.028602004231003376,0,13.888702299911529
0.5236187423687423,0.8125,NS+Linear,0.7377397418022156,0.0,101,0.3333333333333333,0.09342341870069504,0.008130698464810848,0.005393190775066614,500,0.16666666666666666,contextual_fir,0.017406176775693893,gpu_d2_contextual_it500,d2__NS_Linear__contextual_fir__ds101__ts0__it500,0.02618591713025769,0,13.672971399966627
0.5940972222222222,0.9134615384615384,NS+Linear,0.5464794635772705,0.0,102,0.5,0.09711506962776184,0.007203091401606798,0.006417206488549709,500,0.4230769230769231,contextual_fir,0.019258052110671997,gpu_d2_contextual_it500,d2__NS_Linear__contextual_fir__ds102__ts0__it500,0.02752914305257357,0,14.05491070006974
0.7318041698798278,0.8522727272727273,NS+Nonlinear,0.5602012872695923,0.0,0,0.625,0.09754467755556107,0.004443954676389694,0.005967668257653713,500,0.48863636363636365,contextual_fir,0.01619778946042061,gpu_d2_contextual_it500,d2__NS_Nonlinear__contextual_fir__ds0__ts0__it500,0.0283044087907525,0,13.815760600031354
0.5291801335918983,0.8125,NS+Nonlinear,0.7350910305976868,0.0,101,0.5,0.09472880512475967,0.007910729385912418,0.005630513187497854,500,0.375,contextual_fir,0.01773611456155777,gpu_d2_contextual_it500,d2__NS_Nonlinear__contextual_fir__ds101__ts0__it500,0.026918452103287437,0,13.802549700019881
0.5139652014652014,0.8461538461538461,NS+Nonlinear,0.55341637134552,0.0,102,0.5,0.09772923588752747,0.00745033286511898,0.006560413166880608,500,0.4230769230769231,contextual_fir,0.01949026808142662,gpu_d2_contextual_it500,d2__NS_Nonlinear__contextual_fir__ds102__ts0__it500,0.02744646162964445,0,14.054871800006367
0.45954755008063825,0.7727272727272727,Stat+Linear,0.6264533400535583,0.0,0,0.625,0.09719313681125641,0.003931032959371805,0.005818897392600775,500,0.48863636363636365,contextual_fir,0.015474214218556881,gpu_d2_contextual_it500,d2__Stat_Linear__contextual_fir__ds0__ts0__it500,0.03031055373564207,0,16.103105599991977
0.6106661856661857,0.8888888888888888,Stat+Linear,0.7204396724700928,0.0,101,0.5,0.09485479444265366,0.008409852162003517,0.00567943649366498,500,0.375,contextual_fir,0.017895139753818512,gpu_d2_contextual_it500,d2__Stat_Linear__contextual_fir__ds101__ts0__it500,0.026832073838238667,0,13.867430100101046
0.7467948717948717,0.9038461538461539,Stat+Linear,0.6134563088417053,0.0,102,0.75,0.09772785007953644,0.00729016400873661,0.006557415705174208,500,0.7115384615384616,contextual_fir,0.019472932443022728,gpu_d2_contextual_it500,d2__Stat_Linear__contextual_fir__ds102__ts0__it500,0.026323095620509752,0,13.927170300041325
0.5798876019706128,0.7954545454545454,Stat+Nonlinear,0.6568498611450195,0.0,0,0.5,0.09760525822639465,0.0036553614772856236,0.005961480084806681,500,0.3181818181818182,contextual_fir,0.015313825570046902,gpu_d2_contextual_it500,d2__Stat_Nonlinear__contextual_fir__ds0__ts0__it500,0.030298607841511668,0,14.11673010000959
0.5450385563582157,0.7777777777777778,Stat+Nonlinear,0.6874943375587463,0.0,101,0.5,0.09460911154747009,0.00771285267546773,0.005633748602122068,500,0.375,contextual_fir,0.017827507108449936,gpu_d2_contextual_it500,d2__Stat_Nonlinear__contextual_fir__ds101__ts0__it500,0.027077942263846605,0,13.675595800043084
0.7072115384615384,0.8942307692307692,Stat+Nonlinear,0.5054082870483398,0.0,102,0.5,0.0978606715798378,0.006497018504887819,0.006473466753959656,500,0.4230769230769231,contextual_fir,0.019694797694683075,gpu_d2_contextual_it500,d2__Stat_Nonlinear__contextual_fir__ds102__ts0__it500,0.026127852680595764,0,14.038999699987471
0.3836293235749757,0.7045454545454546,NS+Nonlinear,,0.0,0,0.25,0.07763709872961044,,0.0035050467122346163,2000,-0.022727272727272728,adaptive_fir,0.007885432802140713,gpu_d2_it2000_bounded,d2__NS_Nonlinear__adaptive_fir__ds0__ts0__it2000,0.0178358730629394,0,48.66266400006134
